update_timestamp,effective_date,infections_published_daily,app_downloads_cumulated,app_downloads_android_cumulated,app_downloads_ios_cumulated,app_downloads_daily,app_downloads_android_daily,app_downloads_ios_daily,app_downloads_7days_avg,app_downloads_android_7days_avg,app_downloads_ios_7days_avg,app_downloads_7days_sum,app_downloads_android_7days_sum,app_downloads_ios_7days_sum
"2022-07-05T08:21:58,913",2020-01-01,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-02,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-03,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-04,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-05,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-06,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-07,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-08,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-09,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-10,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-11,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-12,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-13,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-14,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-15,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-16,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-17,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-18,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-19,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-20,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-21,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-22,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-23,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-24,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-25,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-26,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-27,1,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-28,3,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-29,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-30,1,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-01-31,2,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-01,1,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-02,1,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-03,2,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-04,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-05,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-06,1,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-07,1,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-08,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-09,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-10,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-11,2,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-12,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-13,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-14,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-15,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-16,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-17,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-18,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-19,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-20,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-21,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-22,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-23,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-24,0,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-25,2,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-26,4,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-27,26,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-28,10,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-02-29,54,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-01,18,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-02,28,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-03,39,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-04,66,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-05,138,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-06,239,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-07,156,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-08,107,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-09,237,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-10,157,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-11,271,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-12,802,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-13,693,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-14,733,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-15,1043,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-16,1174,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-17,1144,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-18,1042,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-19,2801,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-20,2958,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-21,2705,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-22,1948,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-23,4062,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-24,4764,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-25,4118,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-26,4954,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-27,5780,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-28,6294,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-29,3965,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-30,4751,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-03-31,4615,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-01,5453,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-02,6156,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-03,6174,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-04,6082,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-05,5936,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-06,3677,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-07,3834,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-08,4003,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-09,4974,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-10,5323,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-11,4133,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-12,2821,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-13,2537,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-14,2082,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-15,2486,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-16,2866,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-17,3380,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-18,3609,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-19,2458,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-20,1775,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-21,1785,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-22,2237,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-23,2352,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-24,2337,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-25,2055,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-26,1737,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-27,1018,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-28,1144,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-29,1304,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-04-30,1478,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-01,1639,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-02,945,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-03,793,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-04,679,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-05,685,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-06,947,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-07,1284,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-08,1209,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-09,1251,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-10,667,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-11,357,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-12,933,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-13,798,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-14,933,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-15,913,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-16,620,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-17,583,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-18,342,,,,,,,,,,,,
"2022-07-05T08:21:58,913",2020-05-19,513,,,,,,,,,,,,
